id;name;rating;genre;cast;image;image_content_type;jhi_desc
1;Checking Account parsing;54427;Facilitator quantify deposit;extranet Ball;../fake-data/blob/hipster.png;image/png;Tasty Concrete Gloves e-business
2;Zimbabwe Honduras;70237;deposit;Mobility Investment Account Money Market Account;../fake-data/blob/hipster.png;image/png;Investor Handcrafted Frozen Bacon pricing structure
3;Plastic Fish Avon;59851;Northern Mariana Islands solid state Optional;Rubber;../fake-data/blob/hipster.png;image/png;real-time
4;THX;43121;circuit;Panama backing up Unbranded Cotton Table;../fake-data/blob/hipster.png;image/png;Singapore Dollar Personal Loan Account Handcrafted Fresh Keyboard
5;help-desk Orchestrator system;67035;maroon grid-enabled;Representative Chips;../fake-data/blob/hipster.png;image/png;Industrial Dynamic
6;card;6507;revolutionize;SQL even-keeled Wooden;../fake-data/blob/hipster.png;image/png;Assimilated Knoll
7;Taka Refined;7221;Multi-lateral PCI;Generic;../fake-data/blob/hipster.png;image/png;Corner Throughway Up-sized
8;Coves;36976;Home Bedfordshire Product;Coordinator;../fake-data/blob/hipster.png;image/png;embrace
9;Music 6th generation Auto Loan Account;36134;redundant Codes specifically reserved for testing purposes;navigate copy invoice;../fake-data/blob/hipster.png;image/png;Fresh Plastic Lake
10;Corporate connecting program;24899;Administrator;Licensed e-services Implemented;../fake-data/blob/hipster.png;image/png;Bedfordshire Berkshire silver
